Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:00,2018-04-16 16:08:01,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:01,2018-04-16 16:08:01,0.359s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:01,2018-04-16 16:08:03,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:03,2018-04-16 16:08:04,0.325s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:04,2018-04-16 16:08:09,5.001s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:09,2018-04-16 16:08:09,0.051s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:09,2018-04-16 16:08:10,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:10,2018-04-16 16:08:10,0.363s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:10,2018-04-16 16:08:12,2.002s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:12,2018-04-16 16:08:12,0.082s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:12,2018-04-16 16:08:13,1.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:13,2018-04-16 16:08:15,1.347s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:15,2018-04-16 16:08:17,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:17,2018-04-16 16:08:17,0.115s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:17,2018-04-16 16:08:19,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:19,2018-04-16 16:08:19,0.110s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:19,2018-04-16 16:08:21,2.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:21,2018-04-16 16:08:21,0.104s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:21,2018-04-16 16:08:23,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:23,2018-04-16 16:08:23,0.441s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:23,2018-04-16 16:08:25,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:25,2018-04-16 16:08:27,1.240s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:27,2018-04-16 16:08:29,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:29,2018-04-16 16:08:29,0.083s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:29,2018-04-16 16:08:30,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:30,2018-04-16 16:08:30,0.428s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:30,2018-04-16 16:08:32,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:32,2018-04-16 16:08:32,0.129s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:32,2018-04-16 16:08:35,3.002s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:35,2018-04-16 16:08:36,0.716s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:36,2018-04-16 16:08:41,5.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:41,2018-04-16 16:08:41,0.334s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:41,2018-04-16 16:08:43,2.000s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-04-16 16:08:43,2018-04-16 16:08:43,0.084s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-16 16:08:43,2018-04-16 16:08:44,1.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-16 16:08:44,2018-04-16 16:08:45,0.450s,PASSED
